País;Tema;Indicador;1990;1995;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022;Unidade;Multiplicador;Fonte
JP;População;Densidade demográfica;"338,67";"344,14";"347,99";"348,83";"349,64";"350,39";"350,51";"350,54";"350,77";"351,17";"351,34";"351,29";"351,36";"350,71";"350,15";"349,64";"349,18";"348,81";"348,63";"348,35";"347,90";"347,42";"346,40";;;hab/km²;1;"World Development Indicators. The World Bank. <https://data.worldbank.org/indicator/EN.POP.DNST>"
JP;População;Homens;"60749784";"61612103";"62126711";"62241801";"62351052";"62447363";"62430367";"62398129";"62402271";"62443045";"62444510";"62409801";"62397763";"62263573";"62148992";"62046104";"61951317";"61873910";"61830297";"61765051";"61670382";"61567714";"61375600";"61087180";"60810077";habitantes;1;"World Development Indicators. The World Bank. <https://data.worldbank.org/indicator/SP.POP.TOTL.MA.IN>"
JP;População;Mulheres;"62728216";"63859897";"64716290";"64907199";"65093948";"65270637";"65330634";"65374871";"65451729";"65557955";"65618491";"65637199";"65672237";"65569426";"65480007";"65398896";"65324683";"65267090";"65245704";"65206949";"65140618";"65065286";"64885399";"64594414";"64314912";habitantes;1;"World Development Indicators. The World Bank. <https://data.worldbank.org/indicator/SP.POP.TOTL.FE.IN>"
JP;População;População residente em área rural;"22,66";"21,98";"21,35";"20,01";"18,35";"16,80";"15,36";"14,02";"12,88";"11,85";"10,90";"10,01";"9,19";"8,93";"8,85";"8,77";"8,70";"8,62";"8,54";"8,47";"8,38";"8,30";"8,22";"8,13";"8,05";%;1;"World Development Indicators. The World Bank. <https://data.worldbank.org/indicator/SP.RUR.TOTL.ZS>"
JP;População;População residente em área urbana;"77,34";"78,02";"78,65";"79,99";"81,65";"83,20";"84,64";"85,98";"87,12";"88,15";"89,10";"89,99";"90,81";"91,07";"91,15";"91,23";"91,30";"91,38";"91,46";"91,54";"91,62";"91,70";"91,78";"91,87";"91,96";%;1;"World Development Indicators. The World Bank. <https://data.worldbank.org/indicator/SP.URB.TOTL.IN.ZS>"
JP;População;População total;"123478000";"125472000";"126843000";"127149000";"127445000";"127718000";"127761000";"127773000";"127854000";"128001000";"128063000";"128047000";"128070000";"127833000";"127629000";"127445000";"127276000";"127141000";"127076000";"126972000";"126811000";"126633000";"126261000";"125681593";"125124989";habitantes;1;"World Development Indicators. The World Bank. <https://data.worldbank.org/indicator/SP.POP.TOTL>"
JP;População;Taxa bruta de mortalidade;"6,7";"7,4";"7,7";"7,7";"7,8";"8";"8,2";"8,6";"8,6";"8,8";"9,1";"9,1";"9,5";"9,9";"10";"10,1";"10,1";"10,3";"10,5";"10,8";"11";"11,2";"11,1";"11,7";;por mil;1;"World Development Indicators. The World Bank. <https://data.worldbank.org/indicator/SP.DYN.CDRT.IN>"
JP;População;Taxa bruta de natalidade;"10";"9,6";"9,5";"9,3";"9,2";"8,9";"8,8";"8,4";"8,7";"8,6";"8,7";"8,5";"8,5";"8,3";"8,2";"8,2";"8";"8";"7,8";"7,6";"7,4";"7";"6,8";"6,6";;por mil;1;"World Development Indicators. The World Bank. <https://data.worldbank.org/indicator/SP.DYN.CBRT.IN>"
JP;População;Taxa média anual do crescimento da população;"0,33";"0,23";"0,17";"0,24";"0,23";"0,21";"0,03";"0,01";"0,06";"0,11";"0,05";"-0,01";"0,02";"-0,19";"-0,16";"-0,14";"-0,13";"-0,11";"-0,05";"-0,08";"-0,13";"-0,14";"-0,29";"-0,46";"-0,44";%;1;"World Development Indicators. The World Bank. <https://data.worldbank.org/indicator/SP.POP.GROW>"
